PUBMEDID	DISEASE.TRAIT	ACCESSION_ID	N_num	HARMONISED_FILE_URL
34662886	ICD10 O42.9: Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor (Gene-based burden)	GCST90084703	212003	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084703/harmonised/34662886-GCST90084703-EFO_0000408.h.tsv.gz
34662886	ICD10 J30: Vasomotor and allergic rhinitis	GCST90080104	372172	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080104/harmonised/34662886-GCST90080104-EFO_0000408.h.tsv.gz
34662886	ICD10 O46: Antepartum hemorrhage, not elsewhere classified (Gene-based burden)	GCST90084706	211944	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084706/harmonised/34662886-GCST90084706-EFO_0000408.h.tsv.gz
34662886	Education score England (UKB data field 26414)	GCST90078953	369491	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90078001-GCST90079000/GCST90078953/harmonised/34662886-GCST90078953-EFO_0011015.h.tsv.gz
34662886	ICD10 O46.9: Antepartum hemorrhage, unspecified (Gene-based burden)	GCST90084705	211972	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084705/harmonised/34662886-GCST90084705-EFO_0000408.h.tsv.gz
34662886	Index of Multiple Deprivation England (UKB data field 26410)	GCST90078952	369491	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90078001-GCST90079000/GCST90078952/harmonised/34662886-GCST90078952-EFO_0009711.h.tsv.gz
34662886	ICD10 O47: False labor (Gene-based burden)	GCST90084708	211992	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084708/harmonised/34662886-GCST90084708-EFO_0000408.h.tsv.gz
34662886	ICD10 K80.5: Calculus of bile duct without cholangitis or cholecystitis (Gene-based burden)	GCST90084282	387930	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084282/harmonised/34662886-GCST90084282-EFO_0000408.h.tsv.gz
34662886	ICD10 Z83.5: Family history of eye and ear disorders	GCST90081341	385273	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081341/harmonised/34662886-GCST90081341-EFO_0000493.h.tsv.gz
34662886	ICD10 K81: Cholecystitis (Gene-based burden)	GCST90084287	386486	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084287/harmonised/34662886-GCST90084287-HP_0001082.h.tsv.gz
34662886	ICD10 T46: Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system	GCST90081057	385062	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90081001-GCST90082000/GCST90081057/harmonised/34662886-GCST90081057-EFO_0008546.h.tsv.gz
34662886	ICD10 K81.0: Acute cholecystitis (Gene-based burden)	GCST90084284	387368	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084284/harmonised/34662886-GCST90084284-EFO_1001289.h.tsv.gz
34662886	ICD10 S05: Injury of eye and orbit	GCST90080950	385025	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080950/harmonised/34662886-GCST90080950-EFO_0009485.h.tsv.gz
34662886	ICD10 K81.1: Chronic cholecystitis (Gene-based burden)	GCST90084285	387930	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084285/harmonised/34662886-GCST90084285-EFO_0000408.h.tsv.gz
34662886	ICD10 L84: Corns and callosities	GCST90080370	385223	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080370/harmonised/34662886-GCST90080370-EFO_0000408.h.tsv.gz
34662886	ICD10 K81.9: Cholecystitis, unspecified (Gene-based burden)	GCST90084286	387608	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084286/harmonised/34662886-GCST90084286-HP_0001082.h.tsv.gz
34662886	ICD10 R06.8: Other abnormalities of breathing	GCST90080771	385098	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080771/harmonised/34662886-GCST90080771-HP_0002793.h.tsv.gz
